A1;A1 - Batch Quantity 1;P;;F;6;Parameter only available for Operating Mode “Batch 5kHz”. See also „Batch Quantity 1, 2 and 3”
A2;A2 - Batch Quantity 2;P;;F;6;Parameter only available for Operating Mode “Batch”. See also „Batch Quantity 1, 2 and 3”
A3;A3 - Batch Quantity 3;P;;F;6;Parameter only available in Operating Mode “Batch” . See also „Batch Quantity 1, 2 and 3”
AD;AD - Instrument Address;PO;;I;3;The Instrument Address can be changed. The new Instrument Address must be used the next time that communication is established with this converter.
BA;BA - Baudrate;PO;;I;3;The Instrument Address can be changed. The new Instrument Address must be used the next time that communication is established with this converter. 0 1200 Baud 1 2400 Baud 2 4800 Baud 3 9600 Baud
BM;BM - Operating Mode;P;;I;3; Converter operating mode. 000 Standard continuous measurements 001 Standard Batch, 002 Batch 1kHz, 003 Batch 5kHz, 004 Batch 2kHz, 005 Batch 5kHz, 006 Conti 1kHz, 007 Conti 5kHz, 008 Conti 2kHz
BN;BN - Batch Number;P;;I;3;Parameter only available for Operating Mode “Batch”.  000 Batch 1 (Batch Quantity 1, Max. Fill Time 1 etc.) active, 001 Batch 2, 002 Batch 3
DF;DF - Flowrate in Engineering Units;M;;F;6;Instantaneous flowrate value in direct reading engineering units
DI;DI - Density;P;g / cm3;F;6;Density value utilized for mass units (Units Qmax, Units Totalizer).
DP;DP - Damping;P;s;F;6;The damping value is the response time of the converter value to change from 0 to 99% of a step change. The damping function is available only for the “Continuous Operating Modes” (“Standard conti.”, “Conti 1kHz”, “Conti 2kHz” or “Conti 5kHz”.
DR;DR - Empty Pipe Detector ON/OFF;P;;I;3;The Empty Pipe Detector is only available for Operating Mode “Standard konti.”
DS;DS - Threshold Empty Pipe Detector;P;Hz;F;6;Threshold for the empty pipe detector
EI;EI - Units Qmax;P;;I;3;The “Units Qmax” are utilized for the output of the “Instantaneous Flowrate in Engineering Units”. 000 l/s, 001 l/min, 002 l/h, 016 hl/s, 017 hl/min, 018 hl/h, 032 m3/s, 033 m3/min, 034 m3/h, 048 igps, 049 igpm, 050 igph, 064 mgd, 065 gpm, 066 gph, 080 bbl/s, 081 bbl/min, 082 bbl/h, 096 ls/day, 097 bls/min, 098 bls/h, 112 kg/s, 113 kg/min, 14 kg/h, 128 t/s, 129 t/min, 130 t/h, 144 g/s, 145 g/min, 146 g/h, 160 ml/s
EZ;EZ - Units Totalizer;P;;I;3;0l 1 hl 2 m3 3 igal 4 gal 5mgal 6 bbl 7 bls 8kg 9t 10 g 11 ml 12 Ml 13 lbs 14 uton 15 User programmable Units
E1;E1 - Error Register 1;M;;;0;Output the contents of the Error Register 1 The contents of the Error Register are outputted in coded form.The individual errors are identified by the Bit: 0 Error 0 (Empty pipe), 1 Error 1 (A/D Converter saturated), 2 Error 2 (Reference voltage too small), 3 Error 3 (Flowrate > 130%), 4 Error 4 (Ext. zero return), 5 Error 5 (Data corrupted), 6 Error 6 (Totalizer defective), 7 Error 7 (Positive reference voltage too large)
E2;E2 - Error Register 2;M;;;0;Output the contents of the Error Register 2. The contents of the Error Register are outputted in coded form. The individual errors are identified by the Bit: 0 Error 8 (Negative reference voltage too large), 1 Error 9 (Line frequency), 2 -, 3 Error B (Pulse calculation incorrect), 4 Error C (Primary data incorrect), 5 Function test active, converter is not on-line, 6 Error 6 Forward (forward direction totalizer defective), 7 Error 6 Reverse (reverse direction totalizer defective)
EM;EM - Error Log Register Reset;PO;;;0;This command is utilized to reset the Error Registers („6.30 L1 - Error Log Register 1”, and „6.31 L2 - Error Log Register 2”).
FI;FI - Stop Batch Cycle;PO;;;0;Only for Operating Mode „Batch 5kHz”.
FR;FR - Flow Direction;PO;;I;3;The command changes the setting of Bit 4 in Mode Register 1 (M1 - Mode Register). 0 Forward/Reverse, 1 Forward only
IA;IA - Alarm Current;P;;I;3;The value the alarm current is set to during an error condition for the current output. This parameter is only available in converters which include a current output option (Versions 05, 07, 08, 10, 20 and 23) and whose Operating Mode is set for continuous flowrate measurements (“Standard conti.”, “Conti 1kHz”, “Conti 2kHz” oder “Conti 5kHz”).0 - 0% of the current output range setting, 1 - 130% of the current output range setting, 2 - 3.6 mA
IB;IB - Pulse Width;P;ms;F;6;Pulse width for the scaled pulse output
IO;IO - Current Output Range;P;;I;3;This command is only available in converters which include a current output option (Versions 05, 07, 08, 10, 20 and 23) and whose Operating Mode is set for continuous flowrate measurements (“Standard conti.”, “Conti 1kHz”, “Conti 2kHz” oder “Conti 5kHz”). 0 0 - 20 mA, 1 4 - 20 mA, 2 0 - 10 mA, 3 2 - 10 mA, 4 0 - 5 mA, 5 0 - 10 - 20 mA, 6 4 - 12 - 20 mA
I>;I> - Pulse Factor;P;1/[tu];F;6;Pulse factor in pulses/totalizer unit
K1;K1 - Calibration 1;P;%;F;6;The calibration applies to all operating modes. In the Operating Mode “Batch 5kHz”, the calibration applies exclusively to Batch 1.
K2;K2 - Calibration 2;P;%;F;6;Calibration 2 applies to Batch 2 for the Operating Mode “Batch 5kHz”. In the other operating modes this parameter has no effect
K3;K3 - Calibration 3;P;%;F;6;Calibration 3 applies to Batch 3 for the Operating Mode “Batch 5kHz”. In the other operating modes this parameter has no effect.
LZ;LZ - Reset Totalizer;PO;;;0;This command resets the totalizer and overflow counter to 0. In the Operating Mode „Batch 5kHz” the total flow totalizer Qg and the batch totalizer Q are reset.
LV;LV - Reset Difference Totalizer;PO;;;0;This command resets the difference totalizer and overflow counter to 0. In the Operating Mode „Batch 5kHz” the batch totalizer Q is reset.
LR;LR - Reset Total Flow Totalizer;PO;;;0;Only for Operating Mode „Batch 5kHz”: The total flow totalizer Qg is reset
L1;L1 - Error Log Register 1;M;;I;3;The register can be reset using the command EM („6.17 EM - Error Log Register reset”)
L2;L2 - Error Log Register 2;M;;I;3;The register can be reset using the command EM („6.17 EM - Error Log Register reset”)
M ;M - Instantaneous Flowrate;PO;%;F;6;The 2nd function character is replaced in the response by the direction arrow: > for forward, < for reverse.
MD;MD - Instantaneous Flowrate;M;%;F;6;Output of the instantaneous flowrate value in % of Qmax. A negative value is outputted for the reverse flow direction.
MF;MF - Averaging Factor;P;;I;3;Parameter for calculating the second stage flow correction factor for the Operating Mode “Batch
MK;MK - Calculate Secondary Flow Correction Mode;P;;I;3;Only for Operating Mode “Batch 5kHz”. 000 Manual, 001 Calculate the averaging factor
MN;MN - Measure Second Stage Flow Mode;P;;I;3;Only for Operating Mode “Batch 5kHz”.  000 Measure until end of second stage time tn, 001 Measure until valve close time
M1;M1 - Mode Register 1;M;;I;3;The register is read only. In order to make a change, the corresponding functions/parameters must be explicitly reprogrammed.
M2;M2 - Mode Register 2;M;;I;3;The register is read only. In order to make a change, the corresponding functions/parameters must be explicitly reprogrammed.
NG;NG - System Zero;P;Hz;F;6;A negative system zero value indicates reverse flow.
NK;NK - Second Stage Flow Correction Quantity;P;[tu];F;6;Only for Operating Mode “Batch 5kHz”.
NM;NM - Second Stage Flow Quantity;M;[tu];F;6;Only for Operating Mode “Batch 5kHz”.
NW;NW - Meter Size;M;;I;3;When the meter size is programmed the parameters QmaxDN, Qmax, Pulse Factor, Units Qmax, Units Totalizer and Density are affected. Therefore the meter size should be programmed prior to programming the parameters listed above
NZ;NZ - Second Stage Time;P;s;F;6;Only for Operating Mode “Batch 5kHz”. The second stage flow is measured during the second stage time.
O<;O< - Forward Overflow Counter;M;;I;3;An overflow corresponds to 10,000,000 [totalizer units]. The overflow counter can be reset with the command LZ (reset totalizer).
O<;O< - Reverse Overflow Counter;M;;I;3;An overflow corresponds to 10,000,000 [totalizer units
PR;PR - Program Version;M;;A;8;Program Version/Revision
QN;Qn - Flowmeter Primary Constant QmaxDN;M;Units Qmax;F;7;The output of QmaxDN. The flow velocity (10 m/s or 33.33 ft/s) can be read in t he Mode Register 1 (M1).
Q>;Q> - Flow Range Qmax;P;Units Qmax;F;7;The flow range setting applies to both flow directions (forward and reverse).
RU;RU - Start Batch;PO;;;0;Only for Operating Mode „Batch 5kHz”
SM;SM - Low Flow Cutoff;P;%;F;6;Low flow cutoff value in % of the flow range Qmax.
SP;SP - Language;P;;I;3;Language (for display indications). 000 German, 001 English, 002 Swedish
ST;ST - Status Register;M;;I;3;Output of the Status Register 1 in coded form.
S2;S2 - Status Register 2;M;;I;3;Output of the Status Register 2 in coded form.
T1;T1 - TAG Number (1);P;;A;8;The first 8 characters of the 16-character TAG Number
T2;T2 - TAG Number (2);P;;A;8;The second 8 characters of the 16-character TAG Number
t1;t1 - Maximum Batch Time 1;P;s;F;6;Only for Operating Mode „Batch 5kHz”. An output of 0s indicates that the: „Maximum Batch Time 1” is turned off
t2;t2 - Maximum Batch Time 2;P;s;F;6;Only for Operating Mode „Batch 5kHz”. An output of 0s indicates that the: „Maximum Batch Time 2” is turned off
t3;t3 - Maximum Batch Time 3;P;s;F;6;Only for Operating Mode „Batch 5kHz”. An output of 0s indicates that the: „Maximum Batch Time 3” is turned off
VZ;VZ - Valve Closing Time;M;s;F;6;Measured valve closing time tv. Only for Operating Mode „Batch 5kHz”
Z1;Z1 - Display Line 1;P;;I;3;Process display for the 1st line
Z2;Z2 - Display Line 2;P;;I;3;Process display 2nd line
Z3;Z3 - Display Line 1 Multiplex;PO;;I;3;1st Display line multiplexed value in Multiplex Mode
Z4;Z4 - Display Line 2 Multiplex;PO;;I;3;2nd Display line multiplex value in Multiplex Mode
Z>;Z> - Difference Totalizer;M;[tu];F;7;Output difference totalizer value. In the Operating Mode „Batch 5kHz” the instantaneous batch totalizer value is outputted. To reset the totalizer see „6.27 LZ - Reset Totalizer” and „6.28 LV - Reset Difference Totalizer”
